customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
7590-VHVEG,0,0,0,0,-1.2774445836787656,No,No phone service,DSL,No,Yes,No,No,No,No,Yes,-1.1603229160349193,-0.9949713816319787,No,False,False,False,True,False
5575-GNVDE,1,0,1,0,0.06632741908223598,Yes,No,DSL,Yes,No,Yes,No,No,No,No,-0.2596289419448806,-0.1738756538019684,No,True,False,False,False,True
3668-QPYBK,1,0,1,0,-1.2367242199587352,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,-0.3626603559551803,-0.9603993947048204,Yes,False,False,False,False,True
7795-CFOCW,1,0,1,0,0.5142514200025698,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,No,-0.7465354629935549,-0.19540035830642513,No,True,False,False,False,False
9237-HQITU,0,0,1,0,-1.2367242199587352,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,0.19736523310080326,-0.9411927353008436,Yes,False,False,False,True,False
9305-CDSKC,0,0,1,0,-0.9924020376385531,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,1.1595456961969886,-0.645873789499697,Yes,False,False,False,True,False
1452-KIOVK,1,0,1,1,-0.4223169455581282,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,0.8089065291619363,-0.14742786303649225,No,False,False,True,False,False
6713-OKOMC,0,0,1,0,-0.9109613101984924,No,No phone service,DSL,Yes,No,No,No,No,No,No,-1.1636465100352518,-0.8748524921871077,No,False,False,False,False,True
7892-POOKP,0,0,0,0,-0.1779947632379461,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,1.330710787214099,0.3367786435237642,Yes,False,False,False,True,False
6388-TABGU,1,0,1,1,1.2064976032430856,Yes,No,DSL,Yes,Yes,No,No,No,No,No,-0.28621769394753876,0.5318918111241627,No,True,False,False,False,False
9763-GRSKD,1,0,0,1,-0.7888002190384014,Yes,No,DSL,Yes,No,No,No,No,No,Yes,-0.4922805219681379,-0.7487729153410025,No,False,False,False,False,True
7469-LKBCI,1,0,1,0,-0.6666391278783103,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.5225946620711341,-0.8638583354248314,No,False,True,True,False,False
8091-TTVAX,1,0,0,0,1.0436161483629645,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,No,1.182810854199314,1.5002385943846621,No,True,False,True,False,False
0280-XJGEX,1,0,1,0,0.6771328748826912,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,1.2941512532104444,1.215538502805714,Yes,False,False,False,False,False
5129-JLPIS,1,0,1,0,-0.30015585439803716,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,1.3539759452164248,0.17782697949085274,No,False,False,False,True,False
3655-SNQYZ,0,0,0,1,1.4915401492832983,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,No,1.611554480242174,2.4778134048070717,No,False,True,True,False,False
8191-XWSZG,0,0,1,0,0.7992939660427822,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.4660935640654862,-0.5564855551011889,No,True,False,False,False,True
9959-WOFKT,1,0,1,1,1.5729808767233588,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,No,1.393859073220412,2.251351436800182,No,False,True,False,False,False
4190-MFLUW,0,0,0,1,-0.9109613101984924,Yes,No,DSL,No,No,Yes,Yes,No,No,No,-0.31779183695069496,-0.7748674801864056,Yes,False,False,True,False,False
4183-MYFRB,0,0,1,0,-0.46303730927815856,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Yes,0.8404806721650927,-0.18562041564440013,No,False,False,False,True,False
8779-QRDMV,1,1,1,0,-1.2774445836787656,No,No phone service,DSL,No,No,Yes,No,No,Yes,Yes,-0.8346107040023594,-0.9906443641110827,Yes,False,False,False,True,False
1680-VDCWW,1,0,0,0,-0.8295205827584317,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.4943441130683104,-0.9188511958562178,No,True,False,False,False,False
1066-JKSGK,1,0,1,0,-1.2774445836787656,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,-1.4827115340671475,-0.9992542459128654,Yes,False,False,False,False,True
3638-WEABW,0,0,0,0,1.0436161483629645,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Yes,-0.1615829189350795,0.5394640917857306,No,False,True,True,False,False
6322-HRPFA,1,0,0,1,0.6771328748826912,Yes,No,DSL,Yes,Yes,No,Yes,No,No,No,-0.17155370093607614,0.3033325642168391,No,False,False,True,False,False
6865-JZNKO,0,0,1,0,-0.0965540357978854,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,-0.31446824295036285,-0.3323416321947793,No,False,False,False,False,False
6467-CHFZW,1,0,0,1,0.5956921474426305,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,1.1495749141959914,1.0887524741194623,Yes,False,False,False,True,False
8665-UTDHZ,1,0,0,1,-1.2774445836787656,No,No phone service,DSL,No,Yes,No,No,No,No,No,-1.1486903370337564,-0.9948168452919468,Yes,False,False,False,True,False
5248-YGIJN,1,0,0,0,1.6137012404433893,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0.8471278601657574,1.8041674219875912,No,False,True,True,False,False
8773-HHUOZ,0,0,1,1,-0.62591876415828,Yes,No,DSL,No,No,No,No,Yes,Yes,Yes,-0.0020504069191315333,-0.5255120572347758,Yes,False,False,False,False,True
3841-NFECX,0,1,0,0,1.5729808767233588,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Yes,1.0498670941860242,1.979676551023931,No,False,True,True,False,False
